a,b,c,d,e,f
earth,earth,,,,earth
earthi,earthi,,,,earthi
earthpotenti,,earthpotenti,['earthpotenti'],earthpotenti,earthpotenti
earthsdipol,,earthsdipol,['earthsdipol'],earthsdipol,earthsdipol
eas,eas,,,,eas
easi,easi,,,,easi
easier,easier,,,,easier
easili,easili,,,,easili
east,east,,,,east
eastern,,eastern,"['e', 'astern', 'ea', 'stern', 'eas', 'tern', 'east', 'ern', 'easter', 'n']",e astern ea stern eas tern east ern easter n,e astern ea stern eas tern east ern easter n
eastward,,eastward,"['east', 'ward']",east ward,east ward
eastwest,,eastwest,"['east', 'west']",east west,east west
eb,eb,,,,eb
eccentr,,eccentr,['eccentr'],eccentr,eccentr
eccl,eccl,,,,eccl
echo,echo,,,,echo
echost,echost,,,,echost
eckerslei,,eckerslei,['eckerslei'],eckerslei,eckerslei
eclips,eclips,,,,eclips
eclipt,eclipt,,,,eclipt
econom,econom,,,,econom
economi,,economi,['economi'],economi,economi
ectli,ectli,,,,ectli
ed,ed,,,,ed
eddi,eddi,,,,eddi
edelmann,,edelmann,['edelmann'],edelmann,edelmann
edg,edg,,,,edg
edinbugh,,edinbugh,['edinbugh'],edinbugh,edinbugh
edit,edit,,,,edit
editori,,editori,"['editor', 'i']",editor i,editor i
edldtkel,,edldtkel,['edldtkel'],edldtkel,edldtkel
edpm,edpm,,,,edpm
edsac,edsac,,,,edsac
educ,educ,,,,educ
edvac,edvac,,,,edvac
ee,ee,,,,ee
ef,ef,,,,ef
effc,effc,,,,effc
effect,effect,,,,effect
effici,effici,,,,effici
effort,effort,,,,effort
effus,effus,,,,effus
efin,efin,,,,efin
efp,efp,,,,efp
egin,egin,,,,egin
egiven,egiven,,,,egiven
ehrenhaft,,ehrenhaft,['ehrenhaft'],ehrenhaft,ehrenhaft
eht,eht,,,,eht
eifel,eifel,,,,eifel
eigen,eigen,,,,eigen
eigenfunct,,eigenfunct,['eigenfunct'],eigenfunct,eigenfunct
eigenst,,eigenst,['eigenst'],eigenst,eigenst
eigenvalu,,eigenvalu,['eigenvalu'],eigenvalu,eigenvalu
eigenvector,,eigenvector,['eigenvector'],eigenvector,eigenvector
eighth,eighth,,,,eighth
eighti,eighti,,,,eighti
einstein,,einstein,"['ein', 'stein']",ein stein,ein stein
eisenlohr,,eisenlohr,['eisenlohr'],eisenlohr,eisenlohr
eit,eit,,,,eit
eitaromco,,eitaromco,['eitaromco'],eitaromco,eitaromco
eith,eith,,,,eith
eject,eject,,,,eject
ekertova,,ekertova,['ekertova'],ekertova,ekertova
el,el,,,,el
elabor,elabor,,,,elabor
elaps,elaps,,,,elaps
elast,elast,,,,elast
elctron,,elctron,['elctron'],elctron,elctron
elec,elec,,,,elec
elect,elect,,,,elect
electr,electr,,,,electr
electrclos,,electrclos,['electrclos'],electrclos,electrclos
electret,,electret,"['elect', 'ret']",elect ret,elect ret
electricit,,electricit,"['electric', 'it']",electric it,electric it
electrif,,electrif,['electrif'],electrif,electrif
electrifi,,electrifi,['electrifi'],electrifi,electrifi
electro,,electro,"['elect', 'ro']",elect ro,elect ro
electroacoust,,electroacoust,['electroacoust'],electroacoust,electroacoust
electrochem,,electrochem,['electrochem'],electrochem,electrochem
electrod,,electrod,"['elect', 'rod', 'electro', 'd']",elect rod electro d,elect rod electro d
electrodeless,,electrodeless,"['electrode', 'less']",electrode less,electrode less
electrodeposit,,electrodeposit,"['electro', 'deposit', 'electrode', 'posit']",electro deposit electrode posit,electro deposit electrode posit
electrodielectr,,electrodielectr,['electrodielectr'],electrodielectr,electrodielectr
electrodynam,,electrodynam,['electrodynam'],electrodynam,electrodynam
electrohydromagnet,,electrohydromagnet,['electrohydromagnet'],electrohydromagnet,electrohydromagnet
electrojet,,electrojet,"['electro', 'jet']",electro jet,electro jet
electrokinet,,electrokinet,['electrokinet'],electrokinet,electrokinet
electroluminesc,,electroluminesc,['electroluminesc'],electroluminesc,electroluminesc
electrolyt,,electrolyt,['electrolyt'],electrolyt,electrolyt
electromagnet,,electromagnet,"['electro', 'magnet']",electro magnet,electro magnet
electromagneto,,electromagneto,"['electro', 'magneto', 'electromagnet', 'o']",electro magneto electromagnet o,electro magneto electromagnet o
electromagnetoion,,electromagnetoion,['electromagnetoion'],electromagnetoion,electromagnetoion
electromechan,,electromechan,['electromechan'],electromechan,electromechan
electromechn,,electromechn,['electromechn'],electromechn,electromechn
electromet,,electromet,"['electro', 'met']",electro met,electro met
electromot,,electromot,"['electro', 'mot']",electro mot,electro mot
electron,,electron,"['elect', 'ron', 'electro', 'n']",elect ron electro n,elect ron electro n
electroneg,,electroneg,"['electron', 'eg']",electron eg,electron eg
electroniqu,,electroniqu,['electroniqu'],electroniqu,electroniqu
electronmagnet,,electronmagnet,"['electron', 'magnet']",electron magnet,electron magnet
electronphonon,,electronphonon,"['electron', 'phonon']",electron phonon,electron phonon
electrophotometr,,electrophotometr,['electrophotometr'],electrophotometr,electrophotometr
electrophys,,electrophys,['electrophys'],electrophys,electrophys
electropl,,electropl,['electropl'],electropl,electropl
electroposit,,electroposit,"['electro', 'posit']",electro posit,electro posit
electrostat,,electrostat,"['electros', 'tat']",electros tat,electros tat
electrostrict,,electrostrict,"['electro', 'strict']",electro strict,electro strict
electrotechn,,electrotechn,['electrotechn'],electrotechn,electrotechn
electrotherm,,electrotherm,"['electro', 'therm']",electro therm,electro therm
electroylt,,electroylt,['electroylt'],electroylt,electroylt
elem,elem,,,,elem
elemeloci,,elemeloci,['elemeloci'],elemeloci,elemeloci
element,,element,['element'],element,element
elementari,,elementari,['elementari'],elementari,elementari
elettrotecnico,,elettrotecnico,['elettrotecnico'],elettrotecnico,elettrotecnico
elev,elev,,,,elev
eleven,eleven,,,,eleven
elf,elf,,,,elf
elho,elho,,,,elho
elimin,elimin,,,,elimin
elisabethvil,,elisabethvil,['elisabethvil'],elisabethvil,elisabethvil
eliza,eliza,,,,eliza
elliott,,elliott,['elliott'],elliott,elliott
ellips,ellips,,,,ellips
ellipsoid,,ellipsoid,['ellipsoid'],ellipsoid,ellipsoid
ellipt,ellipt,,,,ellipt
elliss,elliss,,,,elliss
ellsworth,,ellsworth,"['ells', 'worth']",ells worth,ells worth
elmor,elmor,,,,elmor
elong,elong,,,,elong
elucid,elucid,,,,elucid
elwert,elwert,,,,elwert
em,em,,,,em
eman,eman,,,,eman
embed,embed,,,,embed
embodi,embodi,,,,embodi
emd,emd,,,,emd
ement,ement,,,,ement
emerald,,emerald,['emerald'],emerald,emerald
emerg,emerg,,,,emerg
emf,emf,,,,emf
emi,emi,,,,emi
emiss,emiss,,,,emiss
emisson,,emisson,['emisson'],emisson,emisson
emit,emit,,,,emit
emitt,emitt,,,,emitt
emphas,emphas,,,,emphas
emphasi,,emphasi,['emphasi'],emphasi,emphasi
empir,empir,,,,empir
emploi,emploi,,,,emploi
empti,empti,,,,empti
emu,emu,,,,emu
emuls,emuls,,,,emuls
en,en,,,,en
enabl,enabl,,,,enabl
enamel,enamel,,,,enamel
enand,enand,,,,enand
encapsul,,encapsul,['encapsul'],encapsul,encapsul
encas,encas,,,,encas
encephalographi,,encephalographi,"['encephalograph', 'i']",encephalograph i,encephalograph i
enci,enci,,,,enci
enclos,enclos,,,,enclos
enclosur,,enclosur,['enclosur'],enclosur,enclosur
encod,encod,,,,encod
encount,,encount,"['en', 'count']",en count,en count
encyclopedia,,encyclopedia,"['en', 'cyclopedia']",en cyclopedia,en cyclopedia
end,end,,,,end
endovibr,,endovibr,['endovibr'],endovibr,endovibr
endow,endow,,,,endow
endur,endur,,,,endur
ener,ener,,,,ener
energ,energ,,,,energ
energet,,energet,['energet'],energet,energet
energi,energi,,,,energi
engel,engel,,,,engel
engelmann,,engelmann,['engelmann'],engelmann,engelmann
engin,engin,,,,engin
england,,england,"['en', 'gland']",en gland,en gland
english,,english,['english'],english,english
engr,engr,,,,engr
engrav,engrav,,,,engrav
enhanc,enhanc,,,,enhanc
enlanc,enlanc,,,,enlanc
enlarg,enlarg,,,,enlarg
enneod,enneod,,,,enneod
ensembl,,ensembl,['ensembl'],ensembl,ensembl
ensu,ensu,,,,ensu
ensur,ensur,,,,ensur
enter,enter,,,,enter
ential,ential,,,,ential
entir,entir,,,,entir
entiti,entiti,,,,entiti
entitl,entitl,,,,entitl
entrain,,entrain,"['en', 'train']",en train,en train
entrant,,entrant,"['en', 'trant']",en trant,en trant
entri,entri,,,,entri
entropi,,entropi,['entropi'],entropi,entropi
enuat,enuat,,,,enuat
enumer,enumer,,,,enumer
enunci,enunci,,,,enunci
envelop,,envelop,['envelop'],envelop,envelop
environ,,environ,['environ'],environ,environ
environment,,environment,"['environ', 'ment']",environ ment,environ ment
envisag,,envisag,['envisag'],envisag,envisag
eon,eon,,,,eon
ep,ep,,,,ep
ephemeri,,ephemeri,['ephemeri'],ephemeri,ephemeri
ephi,ephi,,,,ephi
epitaxi,,epitaxi,['epitaxi'],epitaxi,epitaxi
epoch,epoch,,,,epoch
epoxi,epoxi,,,,epoxi
epr,epr,,,,epr
epsilon,,epsilon,['epsilon'],epsilon,epsilon
epstein,,epstein,['epstein'],epstein,epstein
epush,epush,,,,epush
eq,eq,,,,eq
equ,equ,,,,equ
equal,equal,,,,equal
equat,equat,,,,equat
equatori,,equatori,"['equator', 'i']",equator i,equator i
equiangular,,equiangular,['equiangular'],equiangular,equiangular
equidist,,equidist,['equidist'],equidist,equidist
equilater,,equilater,['equilater'],equilater,equilater
equilibria,,equilibria,['equilibria'],equilibria,equilibria
equilibrium,,equilibrium,['equilibrium'],equilibrium,equilibrium
equinocti,,equinocti,['equinocti'],equinocti,equinocti
equinox,,equinox,['equinox'],equinox,equinox
equip,equip,,,,equip
equipartit,,equipartit,['equipartit'],equipartit,equipartit
equipotenti,,equipotenti,"['equipotent', 'i']",equipotent i,equipotent i
equival,,equival,['equival'],equival,equival
er,er,,,,er
eral,eral,,,,eral
eras,eras,,,,eras
erasur,erasur,,,,erasur
erect,erect,,,,erect
erg,erg,,,,erg
ermi,ermi,,,,ermi
eros,eros,,,,eros
errat,errat,,,,errat
errata,errata,,,,errata
erron,erron,,,,erron
error,error,,,,error
erser,erser,,,,erser
erupt,erupt,,,,erupt
es,es,,,,es
esaki,esaki,,,,esaki
escap,escap,,,,escap
esfr,esfr,,,,esfr
eshleman,,eshleman,['eshleman'],eshleman,eshleman
eskdalemuir,,eskdalemuir,"['eskdale', 'muir']",eskdale muir,eskdale muir
especi,especi,,,,especi
essen,essen,,,,essen
essenc,essenc,,,,essenc
essenti,,essenti,"['essen', 'ti']",essen ti,essen ti
est,est,,,,est
establish,,establish,"['e', 'stablish']",e stablish,e stablish
estim,estim,,,,estim
esu,esu,,,,esu
et,et,,,,et
eta,eta,,,,eta
etch,etch,,,,etch
eth,eth,,,,eth
ether,ether,,,,ether
ethyl,ethyl,,,,ethyl
ettec,ettec,,,,ettec
ettinghausen,,ettinghausen,['ettinghausen'],ettinghausen,ettinghausen
ettingshausen,,ettingshausen,['ettingshausen'],ettingshausen,ettingshausen
euclidean,,euclidean,"['euclid', 'ean']",euclid ean,euclid ean
euler,euler,,,,euler
eulerian,,eulerian,"['euler', 'ian']",euler ian,euler ian
europ,europ,,,,europ
european,,european,"['euro', 'pean', 'europe', 'an']",euro pean europe an,euro pean europe an
euter,euter,,,,euter
ev,ev,,,,ev
evacu,evacu,,,,evacu
evalu,evalu,,,,evalu
evan,evan,,,,evan
evanesc,,evanesc,"['evan', 'esc']",evan esc,evan esc
evapor,evapor,,,,evapor
even,even,,,,even
evenli,evenli,,,,evenli
event,event,,,,event
eventu,eventu,,,,eventu
eversa,eversa,,,,eversa
evid,evid,,,,evid
evidenc,,evidenc,['evidenc'],evidenc,evidenc
evolut,evolut,,,,evolut
evolv,evolv,,,,evolv
ew,ew,,,,ew
exa,exa,,,,exa
exact,exact,,,,exact
exactli,,exactli,"['exact', 'li']",exact li,exact li
exagger,,exagger,"['ex', 'agger']",ex agger,ex agger
examin,examin,,,,examin
examion,,examion,"['exam', 'ion']",exam ion,exam ion
exampl,exampl,,,,exampl
exce,exce,,,,exce
exceed,exceed,,,,exceed
exceedingli,,exceedingli,"['exceeding', 'li']",exceeding li,exceeding li
excel,excel,,,,excel
except,except,,,,except
exception,,exception,"['except', 'ion']",except ion,except ion
excess,excess,,,,excess
exchang,,exchang,['exchang'],exchang,exchang
excit,excit,,,,excit
exciton,,exciton,['exciton'],exciton,exciton
exclud,exclud,,,,exclud
exclus,exclus,,,,exclus
excurs,excurs,,,,excurs
exemplifi,,exemplifi,"['exempli', 'fi']",exempli fi,exempli fi
exercis,,exercis,['exercis'],exercis,exercis
exert,exert,,,,exert
exhaust,,exhaust,['exhaust'],exhaust,exhaust
exhibit,,exhibit,['exhibit'],exhibit,exhibit
exist,exist,,,,exist
exit,exit,,,,exit
exiton,exiton,,,,exiton
exo,exo,,,,exo
exospher,,exospher,['exospher'],exospher,exospher
exotherm,,exotherm,['exotherm'],exotherm,exotherm
exp,exp,,,,exp
expand,expand,,,,expand
expans,expans,,,,expans
expect,expect,,,,expect
expedit,,expedit,['expedit'],expedit,expedit
expel,expel,,,,expel
expenditur,,expenditur,['expenditur'],expenditur,expenditur
expens,expens,,,,expens
experi,experi,,,,experi
experienc,,experienc,['experienc'],experienc,experienc
experiment,,experiment,['experiment'],experiment,experiment
experimentalist,,experimentalist,['experimentalist'],experimentalist,experimentalist
expert,expert,,,,expert
explain,,explain,"['ex', 'plain']",ex plain,ex plain
explan,explan,,,,explan
explanatori,,explanatori,['explanatori'],explanatori,explanatori
explatn,,explatn,['explatn'],explatn,explatn
explic,explic,,,,explic
explicit,,explicit,['explicit'],explicit,explicit
explicitli,,explicitli,"['explicit', 'li']",explicit li,explicit li
explod,explod,,,,explod
exploit,,exploit,['exploit'],exploit,exploit
explor,explor,,,,explor
explos,explos,,,,explos
explr,explr,,,,explr
expon,expon,,,,expon
exponenti,,exponenti,"['exponent', 'i']",exponent i,exponent i
expos,expos,,,,expos
exposit,,exposit,"['ex', 'posit', 'expo', 'sit', 'expos', 'it']",ex posit expo sit expos it,ex posit expo sit expos it
exposur,,exposur,"['expo', 'sur', 'expos', 'ur']",expo sur expos ur,expo sur expos ur
express,,express,"['ex', 'press']",ex press,ex press
exprress,,exprress,['exprress'],exprress,exprress
exsilon,,exsilon,['exsilon'],exsilon,exsilon
exten,exten,,,,exten
extend,extend,,,,extend
extens,extens,,,,extens
extension,,extension,"['ex', 'tension']",ex tension,ex tension
extent,extent,,,,extent
exterior,,exterior,['exterior'],exterior,exterior
extern,extern,,,,extern
extinct,,extinct,"['ex', 'tinct']",ex tinct,ex tinct
extinguish,,extinguish,['extinguish'],extinguish,extinguish
extra,extra,,,,extra
extract,,extract,"['ex', 'tract']",ex tract,ex tract
extragalact,,extragalact,['extragalact'],extragalact,extragalact
extran,extran,,,,extran
extraordinari,,extraordinari,['extraordinari'],extraordinari,extraordinari
extrapol,,extrapol,"['extra', 'pol']",extra pol,extra pol
extraterrestri,,extraterrestri,['extraterrestri'],extraterrestri,extraterrestri
extrem,extrem,,,,extrem
extremum,,extremum,['extremum'],extremum,extremum
extrins,,extrins,"['ex', 'trins']",ex trins,ex trins
extrud,extrud,,,,extrud
eyelet,eyelet,,,,eyelet
ez,ez,,,,ez
ezrth,ezrth,,,,ezrth
fabri,fabri,,,,fabri
fabric,fabric,,,,fabric
fac,fac,,,,fac
face,face,,,,face
facil,facil,,,,facil
facilit,,facilit,['facilit'],facilit,facilit
factor,factor,,,,factor
factori,,factori,"['facto', 'ri', 'factor', 'i']",facto ri factor i,facto ri factor i
facula,facula,,,,facula
faculair,,faculair,['faculair'],faculair,faculair
fade,fade,,,,fade
fadeout,,fadeout,"['fade', 'out']",fade out,fade out
fagen,fagen,,,,fagen
fail,fail,,,,fail
failkow,,failkow,['failkow'],failkow,failkow
failur,failur,,,,failur
faint,faint,,,,faint
fainter,,fainter,"['fa', 'inter', 'faint', 'er']",fa inter faint er,fa inter faint er
fair,fair,,,,fair
fairli,fairli,,,,fairli
faith,faith,,,,faith
falkland,,falkland,"['falk', 'land']",falk land,falk land
fall,fall,,,,fall
fallaci,,fallaci,"['falla', 'ci']",falla ci,falla ci
fallen,fallen,,,,fallen
fals,fals,,,,fals
famili,famili,,,,famili
familiar,,familiar,['familiar'],familiar,familiar
fan,fan,,,,fan
far,far,,,,far
faradai,,faradai,"['farad', 'ai']",farad ai,farad ai
farewel,,farewel,['farewel'],farewel,farewel
farmer,farmer,,,,farmer
farnborough,,farnborough,['farnborough'],farnborough,farnborough
farther,,farther,"['fart', 'her']",fart her,fart her
fashion,,fashion,"['fash', 'ion']",fash ion,fash ion
fast,fast,,,,fast
faster,faster,,,,faster
fastest,,fastest,"['fas', 'test', 'fast', 'est']",fas test fast est,fas test fast est
fatigu,fatigu,,,,fatigu
fault,fault,,,,fault
faulti,faulti,,,,faulti
favour,favour,,,,favour
fawshmotron,,fawshmotron,['fawshmotron'],fawshmotron,fawshmotron
fc,fc,,,,fc
fcc,fcc,,,,fcc
fct,fct,,,,fct
fe,fe,,,,fe
feasibl,,feasibl,['feasibl'],feasibl,feasibl
featur,featur,,,,featur
feb,feb,,,,feb
febric,febric,,,,febric
februari,,februari,['februari'],februari,februari
fed,fed,,,,fed
fedback,,fedback,"['fed', 'back']",fed back,fed back
feder,feder,,,,feder
feebl,feebl,,,,feebl
feed,feed,,,,feed
feedback,,feedback,"['feed', 'back']",feed back,feed back
feedbz,feedbz,,,,feedbz
feeder,feeder,,,,feeder
feedthrough,,feedthrough,"['feed', 'through']",feed through,feed through
feet,feet,,,,feet
feinstein,,feinstein,"['f', 'einstein', 'fein', 'stein']",f einstein fein stein,f einstein fein stein
fejer,fejer,,,,fejer
felch,felch,,,,felch
fell,fell,,,,fell
feq,feq,,,,feq
ferm,ferm,,,,ferm
ferman,ferman,,,,ferman
fermat,fermat,,,,fermat
fermi,fermi,,,,fermi
fermilevel,,fermilevel,"['fermi', 'level']",fermi level,fermi level
fermion,,fermion,"['ferm', 'ion', 'fermi', 'on']",ferm ion fermi on,ferm ion fermi on
fernando,,fernando,['fernando'],fernando,fernando
ferranti,,ferranti,['ferranti'],ferranti,ferranti
ferrara,,ferrara,"['fer', 'rara']",fer rara,fer rara
ferraro,,ferraro,['ferraro'],ferraro,ferraro
ferre,ferre,,,,ferre
ferri,ferri,,,,ferri
ferric,ferric,,,,ferric
ferrimagnet,,ferrimagnet,['ferrimagnet'],ferrimagnet,ferrimagnet
ferristor,,ferristor,"['ferris', 'tor']",ferris tor,ferris tor
ferrit,ferrit,,,,ferrit
ferro,ferro,,,,ferro
ferroelectr,,ferroelectr,['ferroelectr'],ferroelectr,ferroelectr
ferromagnet,,ferromagnet,"['ferro', 'magnet']",ferro magnet,ferro magnet
ferror,ferror,,,,ferror
ferroreson,,ferroreson,['ferroreson'],ferroreson,ferroreson
ferroxcub,,ferroxcub,['ferroxcub'],ferroxcub,ferroxcub
ferroxdur,,ferroxdur,['ferroxdur'],ferroxdur,ferroxdur
ff,ff,,,,ff
ffr,ffr,,,,ffr
fi,fi,,,,fi
fibr,fibr,,,,fibr
fichera,,fichera,"['fiche', 'ra']",fiche ra,fiche ra
fictiti,,fictiti,['fictiti'],fictiti,fictiti
fidel,fidel,,,,fidel
fie,fie,,,,fie
fiel,fiel,,,,fiel
field,field,,,,field
fifteen,,fifteen,['fifteen'],fifteen,fifteen
fifth,fifth,,,,fifth
fifti,fifti,,,,fifti
fig,fig,,,,fig
fight,fight,,,,fight
figur,figur,,,,figur
fiji,fiji,,,,fiji
fil,fil,,,,fil
filament,,filament,"['fi', 'lament', 'fil', 'ament']",fi lament fil ament,fi lament fil ament
filamentari,,filamentari,['filamentari'],filamentari,filamentari
fild,fild,,,,fild
file,file,,,,file
fill,fill,,,,fill
film,film,,,,film
filter,filter,,,,filter
filtrat,,filtrat,"['fil', 'trat']",fil trat,fil trat
fin,fin,,,,fin
final,final,,,,final
find,find,,,,find
finder,finder,,,,finder
findlai,,findlai,['findlai'],findlai,findlai
fine,fine,,,,fine
finer,finer,,,,finer
finish,finish,,,,finish
finit,finit,,,,finit
finlin,finlin,,,,finlin
finnei,finnei,,,,finnei
fire,fire,,,,fire
fireston,,fireston,"['fires', 'ton']",fires ton,fires ton
first,first,,,,first
firstord,,firstord,"['first', 'ord']",first ord,first ord
fischer,,fischer,"['fis', 'cher', 'fisc', 'her']",fis cher fisc her,fis cher fisc her
fisher,fisher,,,,fisher
fiskin,fiskin,,,,fiskin
fission,,fission,"['fis', 'sion']",fis sion,fis sion
fit,fit,,,,fit
fitzgerald,,fitzgerald,['fitzgerald'],fitzgerald,fitzgerald
fiven,fiven,,,,fiven
fix,fix,,,,fix
fizeau,fizeau,,,,fizeau
flai,flai,,,,flai
flame,flame,,,,flame
flang,flang,,,,flang
flank,flank,,,,flank
flar,flar,,,,flar
flare,flare,,,,flare
flareth,,flareth,['flareth'],flareth,flareth
flash,flash,,,,flash
flat,flat,,,,flat
flatten,,flatten,"['f', 'latten', 'flat', 'ten']",f latten flat ten,f latten flat ten
flatter,,flatter,"['f', 'latter']",f latter,f latter
flayer,flayer,,,,flayer
fld,fld,,,,fld
flexibl,,flexibl,['flexibl'],flexibl,flexibl
flexur,flexur,,,,flexur
flfx,flfx,,,,flfx
flighst,,flighst,['flighst'],flighst,flighst
flight,flight,,,,flight
flip,flip,,,,flip
float,float,,,,float
floor,floor,,,,floor
flop,flop,,,,flop
florenc,,florenc,['florenc'],florenc,florenc
florida,,florida,"['flor', 'ida', 'florid', 'a']",flor ida florid a,flor ida florid a
flow,flow,,,,flow
flown,flown,,,,flown
fluctuat,,fluctuat,['fluctuat'],fluctuat,fluctuat
flui,flui,,,,flui
fluid,fluid,,,,fluid
fluiditi,,fluiditi,['fluiditi'],fluiditi,fluiditi
fluoresc,,fluoresc,"['fluor', 'esc']",fluor esc,fluor esc
fluorin,,fluorin,"['fluor', 'in']",fluor in,fluor in
fluorochem,,fluorochem,['fluorochem'],fluorochem,fluorochem
flutter,,flutter,['flutter'],flutter,flutter
flux,flux,,,,flux
fluxgat,,fluxgat,"['flux', 'gat']",flux gat,flux gat
fluxmet,,fluxmet,"['flux', 'met']",flux met,flux met
fly,fly,,,,fly
flyback,,flyback,"['fly', 'back']",fly back,fly back
flywheel,,flywheel,"['fly', 'wheel']",fly wheel,fly wheel
fm,fm,,,,fm
fn,fn,,,,fn
fo,fo,,,,fo
focal,focal,,,,focal
foci,foci,,,,foci
fock,fock,,,,fock
focu,focu,,,,focu
focus,focus,,,,focus
fodeu,fodeu,,,,fodeu
fof,fof,,,,fof
fog,fog,,,,fog
foggi,foggi,,,,foggi
fohn,fohn,,,,fohn
foil,foil,,,,foil
foint,foint,,,,foint
fokker,fokker,,,,fokker
fol,fol,,,,fol
fold,fold,,,,fold
foldov,foldov,,,,foldov
follow,follow,,,,follow
fomula,fomula,,,,fomula
foot,foot,,,,foot
forbidden,,forbidden,"['for', 'bidden', 'forbid', 'den']",for bidden forbid den,for bidden forbid den
forbush,,forbush,"['for', 'bush']",for bush,for bush
forc,forc,,,,forc
ford,ford,,,,ford
forecast,,forecast,"['fo', 'recast', 'fore', 'cast']",fo recast fore cast,fo recast fore cast
foreign,,foreign,"['fo', 'reign']",fo reign,fo reign
forenoon,,forenoon,"['fore', 'noon']",fore noon,fore noon
fork,fork,,,,fork
form,form,,,,form
formal,formal,,,,formal
formaldehyd,,formaldehyd,['formaldehyd'],formaldehyd,formaldehyd
format,format,,,,format
formul,formul,,,,formul
formula,,formula,['formula'],formula,formula
formult,,formult,"['form', 'ult']",form ult,form ult
fornax,fornax,,,,fornax
fort,fort,,,,fort
forth,forth,,,,forth
forthcom,,forthcom,"['forth', 'com']",forth com,forth com
forti,forti,,,,forti
forward,,forward,"['for', 'ward']",for ward,for ward
fosdic,fosdic,,,,fosdic
fosgat,fosgat,,,,fosgat
foster,foster,,,,foster
fot,fot,,,,fot
fotevik,,fotevik,['fotevik'],fotevik,fotevik
found,found,,,,found
foundat,,foundat,"['found', 'at']",found at,found at
fourfold,,fourfold,"['four', 'fold']",four fold,four fold
fourier,,fourier,['fourier'],fourier,fourier
fourth,fourth,,,,fourth
fow,fow,,,,fow
fowler,fowler,,,,fowler
fox,fox,,,,fox
fr,fr,,,,fr
fraction,,fraction,"['fract', 'ion']",fract ion,fract ion
fradio,fradio,,,,fradio
fragil,fragil,,,,fragil
fragment,,fragment,"['frag', 'ment']",frag ment,frag ment
frame,frame,,,,frame
franc,franc,,,,franc
francai,,francai,"['franc', 'ai', 'franca', 'i']",franc ai franca i,franc ai franca i
francais,,francais,"['franc', 'ais', 'franca', 'is']",franc ais franca is,franc ais franca is
francini,,francini,['francini'],francini,francini
francisco,,francisco,"['francis', 'co']",francis co,francis co
franck,franck,,,,franck
frank,frank,,,,frank
franklin,,franklin,"['frank', 'lin']",frank lin,frank lin
franz,franz,,,,franz
fraunhof,,fraunhof,['fraunhof'],fraunhof,fraunhof
frea,frea,,,,frea
fredholm,,fredholm,"['fred', 'holm']",fred holm,fred holm
free,free,,,,free
freed,freed,,,,freed
freedom,,freedom,"['free', 'dom', 'freed', 'om']",free dom freed om,free dom freed om
freeli,freeli,,,,freeli
freespac,,freespac,['freespac'],freespac,freespac
freiburg,,freiburg,['freiburg'],freiburg,freiburg
freld,freld,,,,freld
french,french,,,,french
frenkel,,frenkel,['frenkel'],frenkel,frenkel
freq,freq,,,,freq
frequeeci,,frequeeci,['frequeeci'],frequeeci,frequeeci
frequenc,,frequenc,['frequenc'],frequenc,frequenc
frequent,,frequent,['frequent'],frequent,frequent
fresh,fresh,,,,fresh
freshli,,freshli,"['fresh', 'li']",fresh li,fresh li
fresnel,,fresnel,['fresnel'],fresnel,fresnel
freu,freu,,,,freu
fribourg,,fribourg,['fribourg'],fribourg,fribourg
friction,,friction,['friction'],friction,friction
friedel,,friedel,"['fried', 'el']",fried el,fried el
friedman,,friedman,"['fried', 'man']",fried man,fried man
fring,fring,,,,fring
fringenc,,fringenc,['fringenc'],fringenc,fringenc
frl,frl,,,,frl
fro,fro,,,,fro
frohlich,,frohlich,['frohlich'],frohlich,frohlich
fron,fron,,,,fron
front,front,,,,front
frontier,,frontier,['frontier'],frontier,frontier
froom,froom,,,,froom
frost,frost,,,,frost
frot,frot,,,,frot
frov,frov,,,,frov
frozen,frozen,,,,frozen
frustum,,frustum,"['frust', 'um']",frust um,frust um
ft,ft,,,,ft
fucus,fucus,,,,fucus
fuel,fuel,,,,fuel
fulfil,fulfil,,,,fulfil
full,full,,,,full
fuller,fuller,,,,fuller
fulli,fulli,,,,fulli
fun,fun,,,,fun
function,,function,"['f', 'unction']",f unction,f unction
fundament,,fundament,"['fund', 'ament']",fund ament,fund ament
funktionen,,funktionen,['funktionen'],funktionen,funktionen
funnel,funnel,,,,funnel
furnac,furnac,,,,furnac
furnish,,furnish,['furnish'],furnish,furnish
furth,furth,,,,furth
furthest,,furthest,"['furth', 'est']",furth est,furth est
fuse,fuse,,,,fuse
fuselag,,fuselag,"['fuse', 'lag']",fuse lag,fuse lag
fusion,fusion,,,,fusion
futur,futur,,,,futur
fuze,fuze,,,,fuze
ga,ga,,,,ga
gaa,gaa,,,,gaa
gabor,gabor,,,,gabor
gadolinium,,gadolinium,['gadolinium'],gadolinium,gadolinium
gain,gain,,,,gain
gainesvil,,gainesvil,['gainesvil'],gainesvil,gainesvil
galact,galact,,,,galact
galaxi,galaxi,,,,galaxi
galleri,,galleri,['galleri'],galleri,galleri
gallet,gallet,,,,gallet
gallium,,gallium,"['g', 'allium']",g allium,g allium
gallop,gallop,,,,gallop
galton,galton,,,,galton
galvano,,galvano,['galvano'],galvano,galvano
